date,symbol_income,reportedCurrency_income,cik_income,filingDate_income,acceptedDate_income,fiscalYear_income,period_income,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil,symbol_balance,reportedCurrency_balance,cik_balance,filingDate_balance,acceptedDate_balance,fiscalYear_balance,period_balance,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,netIncome_cashflow,depreciationAndAmortization_cashflow,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables_cashflow,inventory_cashflow,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivities,netCashProvidedByInvestingActivities,netDebtIssuance,longTermNetDebtIssuance,shortTermNetDebtIssuance,netStockIssuance,netCommonStockIssuance,commonStockIssuance,commonStockRepurchased,netPreferredStockIssuance,netDividendsPaid,commonDividendsPaid,preferredDividendsPaid,otherFinancingActivities,netCashProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,incomeTaxesPaid,interestPaid
2005-06-25,AAPL,USD,0000320193,2005-08-03,2005-08-02 20:15:08,2005,Q3,3520000000,2476000000,1044000000,145000000,0,0,473000000,0,618000000,3094000000,51000000,51000000,0,46000000,472000000,426000000,0,426000000,46000000,472000000,153000000,319000000,0,0,319000000,0,319000000,0.014,0.0132,22822576000,24102484000,AAPL,USD,0000320193,2005-08-03,2005-08-02 20:15:08,2005,Q3,3094000000,4432000000,7526000000,1101000000,827000000,274000000,193000000,-274000000,830000000,9376000000,764000000,80000000,29000000,109000000,44000000,88000000,107000000,1112000000,0,10488000000,1530000000,1530000000,0,363000000,0,0,0,467000000,763000000,3123000000,0,0,251000000,283000000,544000000,544000000,0,0,3667000000,0,0,3299000000,3575000000,0,9000000,-62000000,6821000000,6821000000,0,10488000000,4432000000,0,-3094000000,AAPL,USD,0000320193,2005-08-03,2005-08-02 20:15:08,2005,Q3,315000000,46000000,-13000000,17000000,101000000,61000000,-29000000,-243000000,312000000,6000000,472000000,-63000000,0,-2320000000,2698000000,-10000000,305000000,0,0,0,63000000,63000000,63000000,0,0,0,0,0,0,63000000,0,840000000,3094000000,2254000000,472000000,-63000000,409000000,61000000,0
2005-09-24,AAPL,USD,0000320193,2005-12-01,2005-11-30 21:22:48,2005,Q4,3678000000,2643000000,1035000000,147000000,0,0,470000000,0,617000000,3260000000,60000000,0,0,51000000,469000000,418000000,0,418000000,60000000,478000000,48000000,430000000,0,0,430000000,0,430000000,0.0187,0.0177,23000936000,24298344000,AAPL,USD,0000320193,2005-12-01,2005-11-30 21:22:48,2005,Q4,3491000000,4770000000,8261000000,1312000000,895000000,417000000,165000000,-417000000,979000000,10300000000,817000000,69000000,27000000,96000000,38000000,148000000,117000000,1216000000,0,11516000000,1975000000,1779000000,196000000,409000000,0,0,196000000,501000000,602000000,3487000000,0,0,281000000,308000000,601000000,601000000,0,0,4088000000,0,0,3564000000,3925000000,0,0,-61000000,7428000000,7428000000,0,11516000000,4770000000,0,-3491000000,AAPL,USD,0000320193,2005-12-01,2005-11-30 21:22:48,2005,Q4,430000000,51000000,190000000,11000000,67000000,-68000000,28000000,249000000,-142000000,3000000,752000000,-96000000,0,-3846000000,3505000000,8000000,-429000000,0,0,0,74000000,74000000,74000000,0,0,0,0,0,0,74000000,0,397000000,3491000000,3094000000,752000000,-96000000,656000000,-91000000,0
2005-12-31,AAPL,USD,0000320193,2006-02-03,2006-02-03 16:20:30,2006,Q1,5749000000,4185000000,1564000000,182000000,0,0,632000000,0,814000000,4999000000,88000000,88000000,0,52000000,802000000,750000000,0,750000000,81000000,831000000,266000000,565000000,0,0,565000000,0,565000000,0.0243,0.0231,23261868000,24477796000,AAPL,USD,0000320193,2006-02-03,2006-02-03 16:20:30,2006,Q1,4150000000,4557000000,8707000000,2413000000,1331000000,1082000000,244000000,-1082000000,1880000000,12162000000,855000000,69000000,24000000,93000000,784000000,122000000,165000000,2019000000,0,14181000000,2896000000,2896000000,0,451000000,0,0,0,630000000,1083000000,5060000000,0,0,298000000,430000000,741000000,741000000,0,0,5801000000,0,0,3815000000,4570000000,0,-5000000,0,8380000000,8380000000,0,14181000000,4557000000,0,-4150000000,AAPL,USD,0000320193,2006-02-03,2006-02-03 16:20:30,2006,Q1,565000000,52000000,70000000,44000000,-448000000,-436000000,-79000000,1117000000,-1050000000,0,283000000,-82000000,0,-3185000000,3396000000,-36000000,93000000,0,0,0,134000000,134000000,134000000,0,0,0,0,0,149000000,283000000,0,659000000,4150000000,3491000000,283000000,-82000000,201000000,22000000,0
2006-04-01,AAPL,USD,0000320193,2006-05-05,2006-05-04 20:26:47,2006,Q2,4359000000,3062000000,1297000000,176000000,0,0,592000000,0,768000000,3830000000,87000000,87000000,0,50000000,579000000,529000000,0,529000000,76000000,605000000,195000000,410000000,0,0,410000000,0,410000000,0.0174,0.0167,23545480000,24599036000,AAPL,USD,0000320193,2006-05-05,2006-05-04 20:26:47,2006,Q2,6346000000,1880000000,8226000000,1984000000,861000000,1123000000,204000000,97000000,775000000,11286000000,1005000000,69000000,41000000,110000000,1182000000,134000000,194000000,2625000000,0,13911000000,2108000000,2108000000,0,451000000,0,0,0,634000000,1263000000,4456000000,0,0,300000000,460000000,773000000,773000000,0,0,5229000000,0,0,4014000000,4673000000,0,-5000000,0,8682000000,8682000000,0,13911000000,1880000000,0,-6346000000,AAPL,USD,0000320193,2006-05-05,2006-05-04 20:26:47,2006,Q2,410000000,50000000,13000000,42000000,-643000000,470000000,40000000,-788000000,-365000000,3000000,-125000000,-193000000,0,-607000000,3287000000,-25000000,2462000000,0,0,0,-275000000,-275000000,78000000,0,0,0,0,0,134000000,-141000000,0,2196000000,6346000000,4150000000,-125000000,-193000000,-318000000,62000000,0
2006-07-01,AAPL,USD,0000320193,2006-12-29,2006-12-29 06:01:37,2006,Q3,4370000000,3045000000,1325000000,175000000,0,0,584000000,0,759000000,3804000000,99000000,99000000,0,57000000,623000000,566000000,0,566000000,95000000,661000000,189000000,472000000,0,0,472000000,0,472000000,0.0198,0.0192,23838500000,24538304000,AAPL,USD,0000320193,2006-12-29,2006-12-29 06:01:37,2006,Q3,8013000000,1163000000,9176000000,2094000000,1089000000,1005000000,213000000,167000000,841000000,12491000000,1197000000,38000000,37000000,75000000,1108000000,58000000,185000000,2623000000,0,15114000000,2513000000,2513000000,0,487000000,0,0,0,709000000,1314000000,5023000000,0,0,324000000,423000000,761000000,761000000,0,0,5784000000,0,0,4249000000,5065000000,0,16000000,0,9330000000,9330000000,0,15114000000,1163000000,0,-8013000000,AAPL,USD,0000320193,2006-12-29,2006-12-29 06:01:37,2006,Q3,472000000,57000000,118000000,37000000,325000000,-228000000,-9000000,405000000,157000000,-2000000,1007000000,-237000000,0,-613000000,1319000000,22000000,531000000,0,0,0,73000000,73000000,74000000,-1000000,0,0,0,0,56000000,129000000,0,1667000000,8013000000,6346000000,1007000000,-237000000,770000000,24000000,0
2006-09-30,AAPL,USD,0000320193,2006-12-29,2006-12-29 06:05:58,2006,Q4,4837000000,3425000000,1412000000,179000000,0,0,625000000,0,804000000,4229000000,120000000,120000000,252000000,66000000,1039000000,973000000,-365000000,608000000,113000000,721000000,179000000,542000000,0,0,542000000,0,542000000,0.0227,0.022,23910740000,24617348000,AAPL,USD,0000320193,2006-12-29,2006-12-29 06:05:58,2006,Q4,6392000000,3718000000,10110000000,2845000000,1252000000,1593000000,270000000,208000000,1076000000,14509000000,1281000000,38000000,139000000,177000000,0,0,1238000000,2696000000,0,17205000000,3778000000,3390000000,388000000,582000000,0,0,388000000,718000000,1365000000,6443000000,0,0,383000000,381000000,14000000,778000000,0,0,7221000000,0,0,4355000000,5607000000,0,22000000,0,9984000000,9984000000,0,17205000000,3718000000,0,-6392000000,AAPL,USD,0000320193,2006-12-29,2006-12-29 06:05:58,2006,Q4,542000000,66000000,-148000000,40000000,545000000,-163000000,-57000000,877000000,-112000000,10000000,1055000000,-145000000,0,-2875000000,310000000,-19000000,-2729000000,0,0,0,31000000,31000000,32000000,-1000000,0,0,0,0,22000000,53000000,0,-1621000000,6392000000,8013000000,1055000000,-145000000,910000000,86000000,0
2006-12-30,AAPL,USD,0000320193,2007-02-02,2007-02-02 06:23:10,2007,Q1,7115000000,4895000000,2220000000,184000000,0,0,714000000,0,898000000,5793000000,133000000,133000000,0,74000000,1396000000,1322000000,0,1322000000,126000000,1448000000,444000000,1004000000,0,0,1004000000,0,1004000000,0.0418,0.0406,24015348000,24732316000,AAPL,USD,0000320193,2007-02-02,2007-02-02 06:23:10,2007,Q1,7159000000,4710000000,11869000000,3113000000,1621000000,1492000000,303000000,250000000,1129000000,16664000000,1362000000,38000000,146000000,184000000,1018000000,48000000,185000000,2797000000,0,19461000000,4331000000,3885000000,446000000,539000000,0,0,446000000,924000000,1543000000,7337000000,0,0,376000000,504000000,896000000,896000000,0,0,8233000000,0,0,4594000000,6611000000,4594000000,23000000,-4594000000,11228000000,11228000000,0,19461000000,4710000000,0,-7159000000,AAPL,USD,0000320193,2007-02-02,2007-02-02 06:23:10,2007,Q1,1004000000,74000000,73000000,46000000,611000000,-369000000,-33000000,495000000,518000000,5000000,1813000000,-257000000,0,-2581000000,1589000000,15000000,-1234000000,0,0,0,101000000,101000000,101000000,0,0,0,0,0,87000000,188000000,0,767000000,7159000000,6392000000,1813000000,-257000000,1556000000,114000000,0
2007-03-31,AAPL,USD,0000320193,2007-05-10,2007-05-09 21:38:58,2007,Q2,5264000000,3415000000,1849000000,183000000,0,0,680000000,0,863000000,4278000000,158000000,158000000,0,69000000,1055000000,986000000,0,986000000,148000000,1134000000,364000000,770000000,0,0,770000000,0,770000000,0.0319,0.031,24164084000,24826284000,AAPL,USD,0000320193,2007-05-10,2007-05-09 21:38:58,2007,Q2,7095000000,5482000000,12577000000,1667000000,928000000,739000000,208000000,475000000,1102000000,16029000000,1409000000,38000000,240000000,278000000,783000000,27000000,185000000,2682000000,0,18711000000,2847000000,2403000000,444000000,479000000,0,0,444000000,922000000,1237000000,5485000000,0,0,414000000,535000000,965000000,965000000,0,0,6450000000,0,0,4848000000,7381000000,4848000000,32000000,-4848000000,12261000000,12261000000,0,18711000000,5482000000,0,-7095000000,AAPL,USD,0000320193,2007-05-10,2007-05-09 21:38:58,2007,Q2,770000000,69000000,49000000,63000000,-218000000,693000000,95000000,-1482000000,476000000,1000000,734000000,-206000000,0,-3647000000,2877000000,-2000000,-978000000,0,0,0,75000000,75000000,75000000,0,0,0,0,0,105000000,180000000,0,-64000000,7095000000,7159000000,734000000,-206000000,528000000,387000000,0
2007-06-30,AAPL,USD,0000320193,2007-08-08,2007-08-07 21:51:56,2007,Q3,5410000000,3415000000,1995000000,208000000,0,0,746000000,0,954000000,4369000000,168000000,168000000,0,81000000,1122000000,1041000000,0,1041000000,155000000,1196000000,378000000,818000000,0,0,818000000,0,818000000,0.0337,0.0328,24270568000,24938788000,AAPL,USD,0000320193,2007-08-08,2007-08-07 21:51:56,2007,Q3,7118000000,6649000000,13767000000,2901000000,1410000000,1491000000,251000000,441000000,1385000000,18745000000,1626000000,38000000,237000000,275000000,731000000,29000000,241000000,2902000000,0,21647000000,4122000000,3660000000,462000000,487000000,0,0,462000000,1063000000,1320000000,6992000000,0,0,561000000,673000000,1251000000,1251000000,0,0,8243000000,0,0,5149000000,8199000000,5149000000,56000000,-5149000000,13404000000,13404000000,0,21647000000,6649000000,0,-7118000000,AAPL,USD,0000320193,2007-08-08,2007-08-07 21:51:56,2007,Q3,818000000,81000000,84000000,65000000,178000000,-482000000,-43000000,1257000000,-554000000,1000000,1227000000,-289000000,0,-3365000000,2200000000,21000000,-1433000000,0,0,0,118000000,118000000,118000000,0,0,0,0,0,111000000,229000000,0,23000000,7118000000,7095000000,1227000000,-289000000,938000000,187000000,0
2007-09-29,AAPL,USD,0000320193,2007-11-15,2007-11-15 16:49:37,2007,Q4,6217000000,4127000000,2090000000,207000000,0,0,823000000,-18000000,1030000000,5157000000,188000000,188000000,0,93000000,1153000000,1060000000,0,1060000000,170000000,1230000000,326000000,904000000,0,0,904000000,0,904000000,0.0371,0.036,24384640000,25084724000,AAPL,USD,0000320193,2007-11-15,2007-11-15 16:49:37,2007,Q4,9352000000,6034000000,15386000000,4029000000,1637000000,2392000000,346000000,417000000,1778000000,21956000000,1832000000,38000000,299000000,337000000,922000000,88000000,212000000,3391000000,0,25347000000,5458000000,4970000000,488000000,518000000,0,0,488000000,1391000000,1913000000,9280000000,0,0,849000000,619000000,67000000,1535000000,0,0,10815000000,0,0,5368000000,9101000000,0,63000000,0,14532000000,14532000000,0,25347000000,6034000000,0,-9352000000,AAPL,USD,0000320193,2007-11-15,2007-11-15 16:49:37,2007,Q4,904000000,93000000,-128000000,68000000,754000000,-227000000,-95000000,1224000000,-148000000,5000000,1696000000,-234000000,0,-2143000000,2758000000,15000000,396000000,0,0,0,68000000,68000000,71000000,-3000000,0,0,0,0,74000000,142000000,0,2234000000,9352000000,7118000000,1696000000,-234000000,1462000000,175000000,0
