date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2005-06-25,AAPL,USD,0000320193,2005-08-03,2005-08-02 20:15:08,2005,Q3,3520000000,2476000000,1044000000,145000000,0,0,473000000,0,618000000,3094000000,51000000,51000000,0,46000000,472000000,426000000,0,426000000,46000000,472000000,153000000,319000000,0,0,319000000,0,319000000,0.014,0.0132,22822576000,24102484000
2005-09-24,AAPL,USD,0000320193,2005-12-01,2005-11-30 21:22:48,2005,Q4,3678000000,2643000000,1035000000,147000000,0,0,470000000,0,617000000,3260000000,60000000,0,0,51000000,469000000,418000000,0,418000000,60000000,478000000,48000000,430000000,0,0,430000000,0,430000000,0.0187,0.0177,23000936000,24298344000
2005-12-31,AAPL,USD,0000320193,2006-02-03,2006-02-03 16:20:30,2006,Q1,5749000000,4185000000,1564000000,182000000,0,0,632000000,0,814000000,4999000000,88000000,88000000,0,52000000,802000000,750000000,0,750000000,81000000,831000000,266000000,565000000,0,0,565000000,0,565000000,0.0243,0.0231,23261868000,24477796000
2006-04-01,AAPL,USD,0000320193,2006-05-05,2006-05-04 20:26:47,2006,Q2,4359000000,3062000000,1297000000,176000000,0,0,592000000,0,768000000,3830000000,87000000,87000000,0,50000000,579000000,529000000,0,529000000,76000000,605000000,195000000,410000000,0,0,410000000,0,410000000,0.0174,0.0167,23545480000,24599036000
2006-07-01,AAPL,USD,0000320193,2006-12-29,2006-12-29 06:01:37,2006,Q3,4370000000,3045000000,1325000000,175000000,0,0,584000000,0,759000000,3804000000,99000000,99000000,0,57000000,623000000,566000000,0,566000000,95000000,661000000,189000000,472000000,0,0,472000000,0,472000000,0.0198,0.0192,23838500000,24538304000
2006-09-30,AAPL,USD,0000320193,2006-12-29,2006-12-29 06:05:58,2006,Q4,4837000000,3425000000,1412000000,179000000,0,0,625000000,0,804000000,4229000000,120000000,120000000,252000000,66000000,1039000000,973000000,-365000000,608000000,113000000,721000000,179000000,542000000,0,0,542000000,0,542000000,0.0227,0.022,23910740000,24617348000
2006-12-30,AAPL,USD,0000320193,2007-02-02,2007-02-02 06:23:10,2007,Q1,7115000000,4895000000,2220000000,184000000,0,0,714000000,0,898000000,5793000000,133000000,133000000,0,74000000,1396000000,1322000000,0,1322000000,126000000,1448000000,444000000,1004000000,0,0,1004000000,0,1004000000,0.0418,0.0406,24015348000,24732316000
2007-03-31,AAPL,USD,0000320193,2007-05-10,2007-05-09 21:38:58,2007,Q2,5264000000,3415000000,1849000000,183000000,0,0,680000000,0,863000000,4278000000,158000000,158000000,0,69000000,1055000000,986000000,0,986000000,148000000,1134000000,364000000,770000000,0,0,770000000,0,770000000,0.0319,0.031,24164084000,24826284000
2007-06-30,AAPL,USD,0000320193,2007-08-08,2007-08-07 21:51:56,2007,Q3,5410000000,3415000000,1995000000,208000000,0,0,746000000,0,954000000,4369000000,168000000,168000000,0,81000000,1122000000,1041000000,0,1041000000,155000000,1196000000,378000000,818000000,0,0,818000000,0,818000000,0.0337,0.0328,24270568000,24938788000
2007-09-29,AAPL,USD,0000320193,2007-11-15,2007-11-15 16:49:37,2007,Q4,6217000000,4127000000,2090000000,207000000,0,0,823000000,-18000000,1030000000,5157000000,188000000,188000000,0,93000000,1153000000,1060000000,0,1060000000,170000000,1230000000,326000000,904000000,0,0,904000000,0,904000000,0.0371,0.036,24384640000,25084724000
2007-12-29,AAPL,USD,0000320193,2008-02-01,2008-02-01 06:06:51,2008,Q1,9608000000,6276000000,3332000000,246000000,0,0,960000000,0,1206000000,7482000000,0,0,0,106000000,2232000000,2126000000,0,2126000000,200000000,2326000000,745000000,1581000000,0,0,1581000000,0,1581000000,0.0645,0.0627,24524080000,25201512000
2008-03-29,AAPL,USD,0000320193,2008-05-01,2008-05-01 06:01:43,2008,Q2,7512000000,5038000000,2474000000,273000000,0,0,886000000,0,1159000000,6197000000,0,0,0,116000000,1431000000,1315000000,0,1315000000,162000000,1477000000,432000000,1045000000,0,0,1045000000,0,1045000000,0.0424,0.0415,24627288000,25181212000
2008-06-28,AAPL,USD,0000320193,2008-07-23,2008-07-23 17:27:26,2008,Q3,7464000000,4864000000,2600000000,292000000,0,0,916000000,0,1208000000,6072000000,0,0,0,117000000,1509000000,1392000000,0,1392000000,118000000,1510000000,438000000,1072000000,0,0,1072000000,0,1072000000,0.0433,0.0424,24744664000,25288676000
2008-09-27,AAPL,USD,0000320193,2008-11-05,2008-11-05 06:16:23,2008,Q4,7895000000,5156000000,2739000000,298000000,0,0,999000000,0,1297000000,6453000000,0,0,0,134000000,1576000000,1442000000,0,1442000000,140000000,1582000000,446000000,1136000000,0,0,1136000000,0,1136000000,0.0457,0.0448,24839052000,25353216000
2008-12-27,AAPL,USD,0000320193,2009-01-23,2009-01-22 21:45:14,2009,Q1,11880000000,7373000000,4507000000,315000000,0,0,1091000000,0,1406000000,8041000000,0,0,0,168000000,3269000000,3101000000,0,3101000000,158000000,3259000000,1004000000,2255000000,0,0,2255000000,0,2255000000,0.0645,0.0636,24895976000,25241832000
2009-03-28,AAPL,USD,0000320193,2009-04-23,2009-04-23 16:12:31,2009,Q2,9084000000,5457000000,3627000000,319000000,0,0,985000000,0,1304000000,6761000000,0,0,0,181000000,2504000000,2323000000,0,2323000000,63000000,2386000000,766000000,1620000000,0,0,1620000000,0,1620000000,0.0483,0.0477,24953040000,25283804000
2009-06-27,AAPL,USD,0000320193,2009-07-22,2009-07-22 16:41:33,2009,Q3,9734000000,5751000000,3983000000,341000000,0,0,1010000000,0,1351000000,7102000000,0,0,0,182000000,2814000000,2632000000,0,2632000000,60000000,2692000000,864000000,1828000000,0,0,1828000000,0,1828000000,0.0491,0.0483,25023936000,25456480000
